"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"32",680686,"Gray, Josiah","2021-09-11","100","32.0","0.000","0.000","0.000","0.000","0.296","0.307","0.016","0","4","73.3","-11.0","2421","84.0","83.25","5","7","25","-0.8","5.48","117","165","134","141","295","319","291"
"32",450203,"Morton, Charlie","2021-05-31","91","35.2","0.200","0.000","0.333","0.200","0.176","0.202","0.210","2","10","89.8","11.3","3000","81.0","80.79","4","13","19","-0.2","6.25","108","147","129","146","310","317","290"
"32",621244,"Berríos, José","2021-05-25","106","30.2","0.300","0.200","0.600","0.500","0.336","0.234","0.216","3","10","87.4","14.4","2420","83.7","83.45","7","14","18","-0.3","6.29","113","153","118","150","295","324","293"
"32",448179,"Hill, Rich","2021-07-25","62","51.6","0.222","0.111","0.222","0.333","0.321","0.319","0.210","2","9","80.0","21.2","2596","70.0","69.00","0","11","21","-1.0","5.81","107","150","120","146","306","331","295"
"31",628711,"Urías, Julio","2021-07-27","86","36.0","0.143","0.000","0.167","0.143","0.126","0.252","0.259","1","7","82.7","22.5","2884","82.3","81.39","3","15","16","-0.9","5.58","111","155","111","152","300","320","296"
"31",425794,"Wainwright, Adam","2021-06-09","95","32.6","0.167","0.000","0.250","0.167","0.126","0.228","0.215","1","6","85.2","10.0","2909","73.1","72.65","4","14","17","-0.5","6.43","115","155","117","148","293","309","294"
"31",543243,"Gray, Sonny","2021-05-05","90","34.4","0.000","0.000","0.000","0.000","0.177","0.381","0.266","0","6","99.0","13.5","2868","79.9","79.69","4","8","23","-0.2","6.44","116","155","114","147","281","311","284"
"31",446372,"Kluber, Corey","2021-05-19","101","30.7","0.000","0.000","0.000","0.000","0.000","0.229","0.187","0","10","87.1","22.5","2544","82.5","82.49","7","12","19","0.0","6.44","117","157","121","152","306","336","297"
"31",446372,"Kluber, Corey","2021-09-17","95","32.6","0.222","0.000","0.286","0.222","0.288","0.396","0.344","2","9","78.6","17.7","2451","82.1","81.95","6","13","18","-0.2","6.47","110","150","122","143","295","318","280"
"31",450203,"Morton, Charlie","2021-05-19","79","39.2","0.000","0.000","0.000","0.000","0.000","0.106","0.111","0","10","85.5","7.5","3065","79.9","79.42","9","15","16","-0.5","6.23","117","155","121","153","295","311","294"
"31",450203,"Morton, Charlie","2021-05-01","98","31.6","0.222","0.000","0.333","0.222","0.288","0.277","0.191","2","9","81.1","10.3","3059","79.4","78.62","4","13","18","-0.8","6.10","103","148","116","149","305","322","294"
"31",571760,"Heaney, Andrew","2021-04-16","79","39.2","0.125","0.000","0.250","0.125","0.226","0.264","0.174","1","8","86.8","-6.5","2626","79.6","78.90","5","14","17","-0.7","5.84","117","157","107","149","314","327","304"
